col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v167_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:3,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v168_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:4,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v169_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:5,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v170_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:6,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v171_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:7,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v172_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:8,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v173_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:9,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v174_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:10,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v175_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:11,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v176_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:12,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v177_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:13,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v178_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:14,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v179_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:15,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v007_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:1,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v008_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:2,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v009_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:3,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v010_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:4,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v011_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:5,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v012_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:6,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v013_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:7,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v014_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:8,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v015_bin,Which were the most important reasons you decided to enroll for a Masterâs/PhD degree? [binary],Q5:9,Q5,multiple_binary,Q5,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v180_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:1,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v181_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:2,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v182_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:3,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v183_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:4,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v184_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:5,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v185_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:6,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v186_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:7,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v187_bin,Which of the following would you say are the most difficult for graduate students in the country where you are studying?  [binary],Q50:8,Q50,multiple_binary,Q50,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v188_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:1,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v189_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:2,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v190_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:3,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v191_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:4,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v192_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:5,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v193_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:6,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v194_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:7,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v195_bin,Which of the following resources do you think graduate students need the most in order to establish a satisfying career?  [binary],Q51:8,Q51,multiple_binary,Q51,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v208_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:1,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v209_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:2,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v210_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:3,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v211_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:4,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v212_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:5,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v213_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:6,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v214_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:7,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v215_bin,"Which, if any, of the following activities have you done to advance your career?  [binary]",Q54:8,Q54,multiple_binary,Q54,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v216_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:1,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v217_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:2,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v218_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:3,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v219_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:4,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v220_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:5,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v221_bin,What would you do differently right now if you were starting your graduate degree?  [binary],Q55:6,Q55,multiple_binary,Q55,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v017_bin,What prompted you to study outside your country of upbringing? [binary],Q7:1,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v018_bin,What prompted you to study outside your country of upbringing? [binary],Q7:2,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v019_bin,What prompted you to study outside your country of upbringing? [binary],Q7:3,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v020_bin,What prompted you to study outside your country of upbringing? [binary],Q7:4,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v021_bin,What prompted you to study outside your country of upbringing? [binary],Q7:5,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v022_bin,What prompted you to study outside your country of upbringing? [binary],Q7:6,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v023_bin,What prompted you to study outside your country of upbringing? [binary],Q7:7,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v024_bin,What prompted you to study outside your country of upbringing? [binary],Q7:8,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v025_bin,What prompted you to study outside your country of upbringing? [binary],Q7:9,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v026_bin,What prompted you to study outside your country of upbringing? [binary],Q7:10,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v027_bin,What prompted you to study outside your country of upbringing? [binary],Q7:11,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v028_bin,What prompted you to study outside your country of upbringing? [binary],Q7:12,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v029_bin,What prompted you to study outside your country of upbringing? [binary],Q7:13,Q7,multiple_binary,Q7,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
